"Gene","XCI_status"
"MAGEA11","variable"
"MAGEA8","variable"
"EOLA2","inactive"
"LINC00894","inactive"
"MAMLD1","inactive"
"MTM1","inactive"
"MTMR1","inactive"
"CD99L2","inactive"
"HMGB3","inactive"
"VMA21","inactive"
"PASD1","escape"
"CNGA2","escape"
"MAGEA4","escape"
"GABRE","variable"
"GABRA3","variable"
"CSAG1","inactive"
"MAGEA12","escape"
"CETN2","inactive"
"NSDHL","inactive"
"ZNF185","inactive"
"PNMA5","variable"
"PNMA3","variable"
"PNMA6A","inactive"
"ZNF275","inactive"
"TREX2","inactive"
"HAUS7","inactive"
"BGN","inactive"
"ATP2B3","inactive"
"CCNQ","inactive"
"DUSP9","inactive"
"PNCK","variable"
"BCAP31","inactive"
"ABCD1","inactive"
"PLXNB3","escape"
"SRPK3","variable"
"IDH3G","inactive"
"SSR4","inactive"
"PDZD4","inactive"
"L1CAM","variable"
"AVPR2","variable"
"ARHGAP4","variable"
"NAA10","variable"
"RENBP","escape"
"HCFC1","variable"
"TMEM187","inactive"
"IRAK1","inactive"
"MECP2","inactive"
"TKTL1","inactive"
"FLNA","inactive"
"RPL10","inactive"
"DNASE1L1","inactive"
"TAZ","inactive"
"ATP6AP1","inactive"
"GDI1","inactive"
"FAM50A","inactive"
"PLXNA3","inactive"
"LAGE3","inactive"
"UBL4A","inactive"
"SLC10A3","inactive"
"FAM3A","inactive"
"G6PD","inactive"
"IKBKG","escape"
"GAB3","inactive"
"DKC1","inactive"
"MPP1","inactive"
"F8","inactive"
"F8A1","inactive"
"FUNDC2","inactive"
"CMC4","inactive"
"MTCP1","inactive"
"BRCC3","inactive"
"VBP1","inactive"
"RAB39B","inactive"
"CLIC2","inactive"
"TMLHE-AS1","inactive"
"TMLHE","inactive"
"SPRY3","inactive"
"VAMP7","inactive"
"IL9R","variable"
